"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1974",6229.332791,
"AUS","GDP","TOT","USD_CAP","A","1975",6920.647946,
"AUS","GDP","TOT","USD_CAP","A","1976",7377.136633,
"AUS","GDP","TOT","USD_CAP","A","1977",7707.309245,
"AUS","GDP","TOT","USD_CAP","A","1978",8530.852646,
"AUS","GDP","TOT","USD_CAP","A","1979",9431.085927,
"AUS","GDP","TOT","USD_CAP","A","1980",10450.074214,
"AUS","GDP","TOT","USD_CAP","A","1981",11924.422157,
"AUS","GDP","TOT","USD_CAP","A","1982",11959.062085,
"AUS","GDP","TOT","USD_CAP","A","1983",12742.593915,
"AUS","GDP","TOT","USD_CAP","A","1984",13558.887189,
"AUS","GDP","TOT","USD_CAP","A","1985",14495.430755,
"AUS","GDP","TOT","USD_CAP","A","1986",14921.385787,
"AUS","GDP","TOT","USD_CAP","A","1987",16037.945658,
"AUS","GDP","TOT","USD_CAP","A","1988",17073.509875,
"AUS","GDP","TOT","USD_CAP","A","1989",17790.141016,
"AUS","GDP","TOT","USD_CAP","A","1990",17785.328152,
"AUS","GDP","TOT","USD_CAP","A","1991",18132.432962,
"AUS","GDP","TOT","USD_CAP","A","1992",19109.048164,
"AUS","GDP","TOT","USD_CAP","A","1993",20133.473549,
"AUS","GDP","TOT","USD_CAP","A","1994",21364.808576,
"AUS","GDP","TOT","USD_CAP","A","1995",22372.99337,
"AUS","GDP","TOT","USD_CAP","A","1996",23234.667226,
"AUS","GDP","TOT","USD_CAP","A","1997",24413.680589,
"AUS","GDP","TOT","USD_CAP","A","1998",25656.931745,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28260.390995,
"AUS","GDP","TOT","USD_CAP","A","2001",29453.585522,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32203.982172,
"AUS","GDP","TOT","USD_CAP","A","2004",33886.624494,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37862.570607,
"AUS","GDP","TOT","USD_CAP","A","2007",39612.856505,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41613.636163,
"AUS","GDP","TOT","USD_CAP","A","2010",42812.136116,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47638.633438,
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50262.606439,
"AUS","GDP","TOT","USD_CAP","A","2017",52003.146314,
"AUT","GDP","TOT","MLN_USD","A","1970",28549.1071,"E"
"AUT","GDP","TOT","MLN_USD","A","1971",31530.056,"E"
"AUT","GDP","TOT","MLN_USD","A","1972",34934.9789,"E"
"AUT","GDP","TOT","MLN_USD","A","1973",38650.3149,"E"
"AUT","GDP","TOT","MLN_USD","A","1974",43789.773,"E"
"AUT","GDP","TOT","MLN_USD","A","1975",47672.5065,"E"
"AUT","GDP","TOT","MLN_USD","A","1976",52598.1629,"E"
"AUT","GDP","TOT","MLN_USD","A","1977",58704.2724,"E"
"AUT","GDP","TOT","MLN_USD","A","1978",62701.0722,"E"
"AUT","GDP","TOT","MLN_USD","A","1979",71540.4916,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79353.3779,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86736.6,"E"
"AUT","GDP","TOT","MLN_USD","A","1982",93947.6506,"E"
"AUT","GDP","TOT","MLN_USD","A","1983",100529.9148,"E"
"AUT","GDP","TOT","MLN_USD","A","1984",104210.1573,"E"
"AUT","GDP","TOT","MLN_USD","A","1985",110191.9696,"E"
"AUT","GDP","TOT","MLN_USD","A","1986",114998.1425,"E"
"AUT","GDP","TOT","MLN_USD","A","1987",119440.7697,"E"
"AUT","GDP","TOT","MLN_USD","A","1988",127729.4533,"E"
"AUT","GDP","TOT","MLN_USD","A","1989",137896.464,"E"
"AUT","GDP","TOT","MLN_USD","A","1990",149275.1947,"E"
"AUT","GDP","TOT","MLN_USD","A","1991",159634.5506,"E"
"AUT","GDP","TOT","MLN_USD","A","1992",166690.6254,"E"
"AUT","GDP","TOT","MLN_USD","A","1993",171538.9411,"E"
"AUT","GDP","TOT","MLN_USD","A","1994",179410.5062,"E"
"AUT","GDP","TOT","MLN_USD","A","1995",188059.4525,
"AUT","GDP","TOT","MLN_USD","A","1996",195228.3593,
"AUT","GDP","TOT","MLN_USD","A","1997",202579.9761,
"AUT","GDP","TOT","MLN_USD","A","1998",212777.6308,
"AUT","GDP","TOT","MLN_USD","A","1999",220639.939,
"AUT","GDP","TOT","MLN_USD","A","2000",235380.4085,
"AUT","GDP","TOT","MLN_USD","A","2001",238978.4094,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.7843,
"AUT","GDP","TOT","MLN_USD","A","2003",260767.9054,
"AUT","GDP","TOT","MLN_USD","A","2004",275747.0012,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.7221,
"AUT","GDP","TOT","MLN_USD","A","2006",311091.8412,
"AUT","GDP","TOT","MLN_USD","A","2007",326780.2903,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.9764,
"AUT","GDP","TOT","MLN_USD","A","2009",341463.0176,
"AUT","GDP","TOT","MLN_USD","A","2010",351313.6961,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.1762,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.2445,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.5187,
"AUT","GDP","TOT","MLN_USD","A","2015",431078.1342,
"AUT","GDP","TOT","MLN_USD","A","2016",451297.2461,
"AUT","GDP","TOT","MLN_USD","A","2017",474006.4924,
"AUT","GDP","TOT","USD_CAP","A","1970",3823.61049,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4203.710914,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4631.120403,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5095.273075,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5762.932267,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6290.473623,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6952.34804,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7756.466328,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8291.264657,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9476.283505,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10511.170558,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11459.892112,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12403.738328,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13294.24904,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13781.798181,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14566.054551,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15191.713605,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15768.620182,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16839.039589,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18097.679581,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19442.317142,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20585.015394,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21259.636773,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21698.32103,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22606.834495,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23660.401982,
"AUT","GDP","TOT","USD_CAP","A","1996",24529.20805,
"AUT","GDP","TOT","USD_CAP","A","1997",25424.06297,
"AUT","GDP","TOT","USD_CAP","A","1998",26674.596858,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29380.074816,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.208017,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32121.216514,
"AUT","GDP","TOT","USD_CAP","A","2004",33753.472389,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37626.245494,
"AUT","GDP","TOT","USD_CAP","A","2007",39393.953567,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40935.528801,
"AUT","GDP","TOT","USD_CAP","A","2010",42017.796539,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49953.900584,
"AUT","GDP","TOT","USD_CAP","A","2016",51636.986695,
"AUT","GDP","TOT","USD_CAP","A","2017",53894.548963,
"BEL","GDP","TOT","MLN_USD","A","1970",37450.9732,"E"
"BEL","GDP","TOT","MLN_USD","A","1971",40826.214,"E"
"BEL","GDP","TOT","MLN_USD","A","1972",44829.4688,"E"
"BEL","GDP","TOT","MLN_USD","A","1973",50181.0798,"E"
"BEL","GDP","TOT","MLN_USD","A","1974",56993.7813,"E"
"BEL","GDP","TOT","MLN_USD","A","1975",61446.5375,"E"
"BEL","GDP","TOT","MLN_USD","A","1976",68492.7535,"E"
"BEL","GDP","TOT","MLN_USD","A","1977",73203.959,"E"
"BEL","GDP","TOT","MLN_USD","A","1978",80579.7272,"E"
"BEL","GDP","TOT","MLN_USD","A","1979",89308.0259,"E"
"BEL","GDP","TOT","MLN_USD","A","1980",101737.1794,"E"
"BEL","GDP","TOT","MLN_USD","A","1981",111052.7133,"E"
"BEL","GDP","TOT","MLN_USD","A","1982",118615.3664,"E"
"BEL","GDP","TOT","MLN_USD","A","1983",123645.6427,"E"
"BEL","GDP","TOT","MLN_USD","A","1984",131266.0236,"E"
"BEL","GDP","TOT","MLN_USD","A","1985",137654.0523,"E"
"BEL","GDP","TOT","MLN_USD","A","1986",142985.8982,"E"
"BEL","GDP","TOT","MLN_USD","A","1987",149900.9592,"E"
"BEL","GDP","TOT","MLN_USD","A","1988",162518.5027,"E"
"BEL","GDP","TOT","MLN_USD","A","1989",174748.8489,"E"
"BEL","GDP","TOT","MLN_USD","A","1990",186978.0886,"E"
"BEL","GDP","TOT","MLN_USD","A","1991",196844.5857,"E"
"BEL","GDP","TOT","MLN_USD","A","1992",204412.1685,"E"
"BEL","GDP","TOT","MLN_USD","A","1993",207242.4956,"E"
"BEL","GDP","TOT","MLN_USD","A","1994",218498.3708,"E"
"BEL","GDP","TOT","MLN_USD","A","1995",228399.8273,
"BEL","GDP","TOT","MLN_USD","A","1996",232496.5265,
"BEL","GDP","TOT","MLN_USD","A","1997",243611.8229,
"BEL","GDP","TOT","MLN_USD","A","1998",250626.406,
"BEL","GDP","TOT","MLN_USD","A","1999",262228.592,
"BEL","GDP","TOT","MLN_USD","A","2000",286916.7017,
"BEL","GDP","TOT","MLN_USD","A","2001",297883.4312,
"BEL","GDP","TOT","MLN_USD","A","2002",314972.1581,
"BEL","GDP","TOT","MLN_USD","A","2003",322245.5822,
"BEL","GDP","TOT","MLN_USD","A","2004",335956.2372,
"BEL","GDP","TOT","MLN_USD","A","2005",349276.761,
"BEL","GDP","TOT","MLN_USD","A","2006",373252.7108,
"BEL","GDP","TOT","MLN_USD","A","2007",391797.4928,
"BEL","GDP","TOT","MLN_USD","A","2008",408408.7386,
"BEL","GDP","TOT","MLN_USD","A","2009",410361.8861,
"BEL","GDP","TOT","MLN_USD","A","2010",436389.5608,
"BEL","GDP","TOT","MLN_USD","A","2011",455705.2637,
"BEL","GDP","TOT","MLN_USD","A","2012",471332.4746,
"BEL","GDP","TOT","MLN_USD","A","2013",486673.7112,
"BEL","GDP","TOT","MLN_USD","A","2014",499974.7211,
"BEL","GDP","TOT","MLN_USD","A","2015",513901.6396,
"BEL","GDP","TOT","MLN_USD","A","2016",535073.5453,
"BEL","GDP","TOT","MLN_USD","A","2017",561910.6494,
"BEL","GDP","TOT","USD_CAP","A","1970",3890.888241,"E"
"BEL","GDP","TOT","USD_CAP","A","1971",4226.204321,"E"
"BEL","GDP","TOT","USD_CAP","A","1972",4623.402061,"E"
"BEL","GDP","TOT","USD_CAP","A","1973",5159.918028,"E"
"BEL","GDP","TOT","USD_CAP","A","1974",5842.441747,"E"
"BEL","GDP","TOT","USD_CAP","A","1975",6281.531554,"E"
"BEL","GDP","TOT","USD_CAP","A","1976",6990.430468,"E"
"BEL","GDP","TOT","USD_CAP","A","1977",7462.89291,"E"
"BEL","GDP","TOT","USD_CAP","A","1978",8208.141697,"E"
"BEL","GDP","TOT","USD_CAP","A","1979",9090.764106,"E"
"BEL","GDP","TOT","USD_CAP","A","1980",10319.218925,"E"
"BEL","GDP","TOT","USD_CAP","A","1981",11265.23771,"E"
"BEL","GDP","TOT","USD_CAP","A","1982",12034.838307,"E"
"BEL","GDP","TOT","USD_CAP","A","1983",12547.761587,"E"
"BEL","GDP","TOT","USD_CAP","A","1984",13319.738573,"E"
"BEL","GDP","TOT","USD_CAP","A","1985",13965.106253,"E"
"BEL","GDP","TOT","USD_CAP","A","1986",14503.083295,"E"
"BEL","GDP","TOT","USD_CAP","A","1987",15187.53386,"E"
"BEL","GDP","TOT","USD_CAP","A","1988",16409.380323,"E"
"BEL","GDP","TOT","USD_CAP","A","1989",17580.367095,"E"
"BEL","GDP","TOT","USD_CAP","A","1990",18757.833925,"E"
"BEL","GDP","TOT","USD_CAP","A","1991",19672.654979,"E"
"BEL","GDP","TOT","USD_CAP","A","1992",20345.592565,"E"
"BEL","GDP","TOT","USD_CAP","A","1993",20547.540715,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21599.285368,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22531.303869,
"BEL","GDP","TOT","USD_CAP","A","1996",22890.275332,
"BEL","GDP","TOT","USD_CAP","A","1997",23928.083973,
"BEL","GDP","TOT","USD_CAP","A","1998",24563.991567,
"BEL","GDP","TOT","USD_CAP","A","1999",25643.320168,
"BEL","GDP","TOT","USD_CAP","A","2000",27989.142692,
"BEL","GDP","TOT","USD_CAP","A","2001",28957.269483,
"BEL","GDP","TOT","USD_CAP","A","2002",30482.159886,
"BEL","GDP","TOT","USD_CAP","A","2003",31056.821727,
"BEL","GDP","TOT","USD_CAP","A","2004",32238.387598,
"BEL","GDP","TOT","USD_CAP","A","2005",33331.115656,
"BEL","GDP","TOT","USD_CAP","A","2006",35386.112139,
"BEL","GDP","TOT","USD_CAP","A","2007",36871.587882,
"BEL","GDP","TOT","USD_CAP","A","2008",38133.402295,
"BEL","GDP","TOT","USD_CAP","A","2009",38010.54892,
"BEL","GDP","TOT","USD_CAP","A","2010",40050.43693,
"BEL","GDP","TOT","USD_CAP","A","2011",41450.360532,
"BEL","GDP","TOT","USD_CAP","A","2012",42585.15311,
"BEL","GDP","TOT","USD_CAP","A","2013",43745.951564,
"BEL","GDP","TOT","USD_CAP","A","2014",44720.458061,
"BEL","GDP","TOT","USD_CAP","A","2015",45728.923263,
"BEL","GDP","TOT","USD_CAP","A","2016",47372.602502,
"BEL","GDP","TOT","USD_CAP","A","2017",49511.908486,
"CAN","GDP","TOT","MLN_USD","A","1970",98501.6035,"E"
"CAN","GDP","TOT","MLN_USD","A","1971",107756.3657,"E"
"CAN","GDP","TOT","MLN_USD","A","1972",118536.3452,"E"
"CAN","GDP","TOT","MLN_USD","A","1973",133739.4813,"E"
"CAN","GDP","TOT","MLN_USD","A","1974",151154.7921,"E"
"CAN","GDP","TOT","MLN_USD","A","1975",168166.4309,"E"
"CAN","GDP","TOT","MLN_USD","A","1976",186645.9486,"E"
"CAN","GDP","TOT","MLN_USD","A","1977",205098.6319,"E"
"CAN","GDP","TOT","MLN_USD","A","1978",228204.0457,"E"
"CAN","GDP","TOT","MLN_USD","A","1979",256540.5868,"E"
"CAN","GDP","TOT","MLN_USD","A","1980",285763.1373,"E"
"CAN","GDP","TOT","MLN_USD","A","1981",323760.4063,
"CAN","GDP","TOT","MLN_USD","A","1982",332755.6597,
"CAN","GDP","TOT","MLN_USD","A","1983",354774.5219,
"CAN","GDP","TOT","MLN_USD","A","1984",389353.8209,
"CAN","GDP","TOT","MLN_USD","A","1985",420682.168,
"CAN","GDP","TOT","MLN_USD","A","1986",438431.7925,
"CAN","GDP","TOT","MLN_USD","A","1987",467676.2532,
"CAN","GDP","TOT","MLN_USD","A","1988",505619.2088,
"CAN","GDP","TOT","MLN_USD","A","1989",537652.3171,
"CAN","GDP","TOT","MLN_USD","A","1990",558639.3508,
"CAN","GDP","TOT","MLN_USD","A","1991",565254.6336,
"CAN","GDP","TOT","MLN_USD","A","1992",583241.0732,
"CAN","GDP","TOT","MLN_USD","A","1993",612913.0322,
"CAN","GDP","TOT","MLN_USD","A","1994",654130.2448,
"CAN","GDP","TOT","MLN_USD","A","1995",685729.2277,
"CAN","GDP","TOT","MLN_USD","A","1996",709534.8507,
"CAN","GDP","TOT","MLN_USD","A","1997",752660.1924,
"CAN","GDP","TOT","MLN_USD","A","1998",790676.951,
"CAN","GDP","TOT","MLN_USD","A","1999",843506.5208,
"CAN","GDP","TOT","MLN_USD","A","2000",898018.2639,
"CAN","GDP","TOT","MLN_USD","A","2001",933966.6204,
"CAN","GDP","TOT","MLN_USD","A","2002",967558.4379,
"CAN","GDP","TOT","MLN_USD","A","2003",1019728.6392,
"CAN","GDP","TOT","MLN_USD","A","2004",1079497.3999,
"CAN","GDP","TOT","MLN_USD","A","2005",1167581.2349,
"CAN","GDP","TOT","MLN_USD","A","2006",1237673.687,
"CAN","GDP","TOT","MLN_USD","A","2007",1297137.2962,
"CAN","GDP","TOT","MLN_USD","A","2008",1339060.5528,
"CAN","GDP","TOT","MLN_USD","A","2009",1304713.5356,
"CAN","GDP","TOT","MLN_USD","A","2010",1360616.5673,
"CAN","GDP","TOT","MLN_USD","A","2011",1427466.5432,
"CAN","GDP","TOT","MLN_USD","A","2012",1464565.3363,
"CAN","GDP","TOT","MLN_USD","A","2013",1550269.8055,
"CAN","GDP","TOT","MLN_USD","A","2014",1617564.4901,
"CAN","GDP","TOT","MLN_USD","A","2015",1591203.7235,
"CAN","GDP","TOT","MLN_USD","A","2016",1625347.3073,
"CAN","GDP","TOT","MLN_USD","A","2017",1707282.7166,
"CAN","GDP","TOT","USD_CAP","A","1970",4543.392079,"E"
"CAN","GDP","TOT","USD_CAP","A","1971",4906.484322,"E"
"CAN","GDP","TOT","USD_CAP","A","1972",5335.038035,"E"
"CAN","GDP","TOT","USD_CAP","A","1973",5946.150068,"E"
"CAN","GDP","TOT","USD_CAP","A","1974",6627.279795,"E"
"CAN","GDP","TOT","USD_CAP","A","1975",7266.319522,"E"
"CAN","GDP","TOT","USD_CAP","A","1976",7959.380674,"E"
"CAN","GDP","TOT","USD_CAP","A","1977",8644.524533,"E"
"CAN","GDP","TOT","USD_CAP","A","1978",9523.102803,"E"
"CAN","GDP","TOT","USD_CAP","A","1979",10600.174387,"E"
"CAN","GDP","TOT","USD_CAP","A","1980",11656.347645,"E"
"CAN","GDP","TOT","USD_CAP","A","1981",13044.380139,
"CAN","GDP","TOT","USD_CAP","A","1982",13248.255289,
"CAN","GDP","TOT","USD_CAP","A","1983",13985.973911,
"CAN","GDP","TOT","USD_CAP","A","1984",15204.944549,
"CAN","GDP","TOT","USD_CAP","A","1985",16278.936602,
"CAN","GDP","TOT","USD_CAP","A","1986",16797.974048,
"CAN","GDP","TOT","USD_CAP","A","1987",17683.794345,
"CAN","GDP","TOT","USD_CAP","A","1988",18872.200039,
"CAN","GDP","TOT","USD_CAP","A","1989",19710.988519,
"CAN","GDP","TOT","USD_CAP","A","1990",20173.939793,
"CAN","GDP","TOT","USD_CAP","A","1991",20160.722121,
"CAN","GDP","TOT","USD_CAP","A","1992",20557.458182,
"CAN","GDP","TOT","USD_CAP","A","1993",21367.198009,
"CAN","GDP","TOT","USD_CAP","A","1994",22555.699667,
"CAN","GDP","TOT","USD_CAP","A","1995",23401.882116,
"CAN","GDP","TOT","USD_CAP","A","1996",23962.500064,
"CAN","GDP","TOT","USD_CAP","A","1997",25167.575106,
"CAN","GDP","TOT","USD_CAP","A","1998",26220.27574,
"CAN","GDP","TOT","USD_CAP","A","1999",27745.751307,
"CAN","GDP","TOT","USD_CAP","A","2000",29265.012234,
"CAN","GDP","TOT","USD_CAP","A","2001",30107.952161,
"CAN","GDP","TOT","USD_CAP","A","2002",30854.823032,
"CAN","GDP","TOT","USD_CAP","A","2003",32227.437056,
"CAN","GDP","TOT","USD_CAP","A","2004",33799.776589,
"CAN","GDP","TOT","USD_CAP","A","2005",36212.643556,
"CAN","GDP","TOT","USD_CAP","A","2006",37999.831043,
"CAN","GDP","TOT","USD_CAP","A","2007",39441.137677,
"CAN","GDP","TOT","USD_CAP","A","2008",40277.618235,
"CAN","GDP","TOT","USD_CAP","A","2009",38797.769184,
"CAN","GDP","TOT","USD_CAP","A","2010",40011.927776,
"CAN","GDP","TOT","USD_CAP","A","2011",41565.258933,
"CAN","GDP","TOT","USD_CAP","A","2012",42145.104092,
"CAN","GDP","TOT","USD_CAP","A","2013",44101.430586,
"CAN","GDP","TOT","USD_CAP","A","2014",45519.871933,
"CAN","GDP","TOT","USD_CAP","A","2015",44406.701911,
"CAN","GDP","TOT","USD_CAP","A","2016",44819.110868,
"CAN","GDP","TOT","USD_CAP","A","2017",46509.721485,
"CZE","GDP","TOT","MLN_USD","A","1990",130818.7375,"E"
"CZE","GDP","TOT","MLN_USD","A","1991",119534.3451,"E"
"CZE","GDP","TOT","MLN_USD","A","1992",121639.1326,"E"
"CZE","GDP","TOT","MLN_USD","A","1993",124598.1884,"E"
"CZE","GDP","TOT","MLN_USD","A","1994",130961.1849,"E"
"CZE","GDP","TOT","MLN_USD","A","1995",142025.689,
"CZE","GDP","TOT","MLN_USD","A","1996",150431.6262,
"CZE","GDP","TOT","MLN_USD","A","1997",151786.19,
"CZE","GDP","TOT","MLN_USD","A","1998",153452.0233,
"CZE","GDP","TOT","MLN_USD","A","1999",157590.9647,
"CZE","GDP","TOT","MLN_USD","A","2000",166037.7222,
"CZE","GDP","TOT","MLN_USD","A","2001",179347.2711,
"CZE","GDP","TOT","MLN_USD","A","2002",185474.0896,
"CZE","GDP","TOT","MLN_USD","A","2003",198029.4789,
"CZE","GDP","TOT","MLN_USD","A","2004",212091.1078,
"CZE","GDP","TOT","MLN_USD","A","2005",224201.3809,
"CZE","GDP","TOT","MLN_USD","A","2006",243445.1989,
"CZE","GDP","TOT","MLN_USD","A","2007",269055.7953,
